tconst,titleType,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
tt0042276,movie,Born Yesterday,1950,103,"Comedy,Drama,Romance",7.5,13673
tt0042286,movie,Broken Arrow,1950,93,"Drama,Romance,Western",7.1,10847
tt0042332,movie,Cinderella,1950,74,"Animation,Family,Fantasy",7.3,187986
tt0042369,movie,D.O.A.,1949,83,"Crime,Drama,Film-Noir",7.2,14233
tt0042451,movie,Father of the Bride,1950,92,"Comedy,Drama,Romance",7.1,13569
tt0042530,movie,Gun Crazy,1950,87,"Crime,Drama,Film-Noir",7.6,16638
tt0042531,movie,The Gunfighter,1950,85,Western,7.7,14457
tt0042546,movie,Harvey,1950,104,"Comedy,Drama,Fantasy",7.9,61095
tt0042593,movie,In a Lonely Place,1950,94,"Drama,Film-Noir,Mystery",7.9,39371
tt0042619,movie,Diary of a Country Priest,1951,95,Drama,7.7,13738
tt0042788,movie,Night and the City,1950,96,"Crime,Film-Noir,Sport",7.8,16602
tt0042804,movie,The Young and the Damned,1950,80,"Crime,Drama",8.2,23775
tt0042876,movie,Rashomon,1950,88,"Crime,Drama,Mystery",8.1,197285
tt0042895,movie,Rio Grande,1950,105,"Drama,Romance,Western",7.0,19474
tt0042994,movie,Stage Fright,1950,111,"Film-Noir,Mystery,Thriller",7.0,17804
tt0043014,movie,Sunset Boulevard,1950,110,"Drama,Film-Noir",8.4,262043
tt0043067,movie,Treasure Island,1950,96,"Adventure,Drama,Family",6.9,10820
tt0043132,movie,Where the Sidewalk Ends,1950,95,"Crime,Drama,Film-Noir",7.5,11180
tt0043137,movie,Winchester '73,1950,92,"Action,Drama,Western",7.6,23174
tt0043265,movie,The African Queen,1951,105,"Adventure,Drama,Romance",7.7,87709
tt0043274,movie,Alice in Wonderland,1951,75,"Adventure,Animation,Comedy",7.3,167400
tt0043278,movie,An American in Paris,1951,114,"Drama,Musical,Romance",7.1,39525
tt0043313,movie,Early Summer,1951,125,"Comedy,Drama,Romance",8.0,10754
tt0043338,movie,Ace in the Hole,1951,111,"Drama,Film-Noir",8.0,42645
tt0043456,movie,The Day the Earth Stood Still,1951,92,"Drama,Sci-Fi",7.7,88941
tt0043465,movie,Detective Story,1951,103,"Crime,Drama,Film-Noir",7.5,10561
tt0043686,movie,Forbidden Games,1952,86,"Drama,War",8.0,14239
