tconst,titleType,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,original_language,is_franchise,budget,revenue
tt0031867,movie,The Roaring Twenties,1939,106,"Crime,Drama,Thriller",7.9,17509,en,False,0.0,0.0
tt0031885,movie,The Rules of the Game,1939,110,"Comedy,Drama",7.9,33469,fr,False,8850000.0,273520.0
tt0031951,movie,Son of Frankenstein,1939,99,"Drama,Horror,Sci-Fi",7.1,13478,en,True,420000.0,0.0
tt0031971,movie,Stagecoach,1939,96,"Adventure,Drama,Western",7.8,59186,en,False,531374.0,1103757.0
tt0032138,movie,The Wizard of Oz,1939,102,"Adventure,Family,Fantasy",8.1,469174,en,False,2777000.0,33754967.0
tt0032143,movie,The Women,1939,133,"Comedy,Drama",7.7,16150,en,False,1688000.0,2270000.0
tt0032145,movie,Wuthering Heights,1939,104,"Drama,Romance",7.5,22813,en,False,0.0,0.0
tt0032455,movie,Fantasia,1940,124,"Animation,Family,Fantasy",7.7,111626,en,True,2280000.0,76411819.0
tt0032484,movie,Foreign Correspondent,1940,120,"Action,Drama,Romance",7.4,26171,en,False,0.0,0.0
tt0032551,movie,The Grapes of Wrath,1940,129,Drama,8.1,107165,en,False,800000.0,1591000.0
